Component,Difumo_names,Yeo_networks7,Yeo_networks17,GM,WM,CSF
1,Superior frontal sulcus,DefaultB,DefaultA,0.689995616,0.185709194,0.116884455
2,Fusiform gyrus,No network found,No network found,0.844732523,0.021026431,0.133788592
3,Calcarine cortex posterior,VisCent,VisPeri,0.601767818,0.30206712,0.091297322
4,Cingulate cortex posterior,DefaultB,DefaultA,0.740085959,0.140368285,0.119566891
5,Parieto-occipital sulcus superior,ContA,ContC,0.640156911,0.24149216,0.117825549
6,Insula antero-superior,SalVentAttnA,SalVentAttnB,0.786372865,0.0641708,0.145490751
7,Superior temporal sulcus with angular gyrus,DefaultB,TempPar,0.728968926,0.193526183,0.076088728
8,Planum temporale,SomMotA,SomMotB,0.669865921,0.191026684,0.133325983
9,Cerebellum Crus II,No network found,No network found,0.818590486,0.133873903,0.045428314
10,Superior parts of Postcentral and Precentral gyri,SomMotA,DorsAttnB,0.370874885,0.062035691,0.180062384
11,Transverse sinus,No network found,No network found,0.76837391,0.023967152,0.189543008
12,Paracentral gyrus RH,SomMotA,SomMotA,0.530637477,0.347904449,0.117678351
13,Superior occipital gyrus,VisCent,VisPeri,0.558615252,0.286970332,0.118694893
14,Cingulate gyrus mid-posterior,DefaultB,ContC,0.745202722,0.114581045,0.140189626
15,ventricles,No network found,No network found,0.59670245,0.240338775,0.162964368
16,Fusiform gyrus posterior,VisCent,VisCent,0.762631513,0.166567139,0.068155655
17,Superior frontal gyrus medial,SalVentAttnA,SalVentAttnA,0.658714598,0.078255005,0.254753118
18,Precuneus superior,DorsAttnB,ContC,0.560841956,0.05959337,0.256266176
19,Planum polare,SalVentAttnA,SomMotB,0.755394218,0.033107117,0.206087532
20,Parieto-occipital sulcus middle,VisCent,VisPeri,0.590863624,0.289750505,0.118655919
21,Cerebellum I-V,No network found,No network found,0.793033832,0.181335152,0.025622013
22,Superior fornix and isthmus,No network found,DefaultC,0.395778158,0.051928343,0.552281474
23,Anterior Cingulate Cortex,DefaultB,SalVentAttnB,0.782633077,0.075669799,0.141716566
24,Descending occipital gyrus,VisCent,VisCent,0.583707772,0.348301439,0.065312198
25,Putamen,No network found,No network found,0.593185571,0.40345739,0.00334528
26,Cingulate gyrus mid-anterior,SalVentAttnA,SalVentAttnA,0.772303701,0.050804288,0.165992489
27,Superior parietal lobule posterior,DorsAttnB,DorsAttnA,0.504399836,0.368070264,0.122858283
28,Paracentral lobule,SomMotA,SomMotA,0.551249119,0.206630706,0.240034948
29,Inferior occipital gyrus,VisCent,VisCent,0.704343095,0.173842482,0.113538431
30,Superior rostral gyrus,DefaultB,DefaultA,0.711490679,0.123044101,0.165126886
31,Calcarine sulcus anterior,VisCent,VisPeri,0.647608537,0.26968744,0.082718239
32,Intraparietal sulcus,ContA,ContA,0.569391856,0.300104396,0.117826183
33,Superior parietal lobule anterior,DorsAttnB,DorsAttnB,0.541236185,0.287362063,0.158522434
34,Precentral gyrus medial,SomMotA,SomMotA,0.69570106,0.107985134,0.195736167
35,Lingual gyrus anterior,VisCent,VisPeri,0.726987015,0.139973772,0.133043652
36,Angular gyrus superior,DefaultB,ContB,0.629898953,0.248943452,0.075615058
37,Supramarginal gyrus,SalVentAttnA,SalVentAttnA,0.669210546,0.218185058,0.093915616
38,Intraparietal sulcus LH,DorsAttnB,ContA,0.648599421,0.244824989,0.101234864
39,Dorsomedial prefrontal cortex antero-superior,DefaultB,DefaultB,0.661047853,0.097573353,0.183622987
40,Precentral gyrus superior,DorsAttnB,DorsAttnB,0.67713999,0.187416752,0.129533454
41,Postcentral gyrus inferior,SomMotA,SomMotB,0.60867859,0.30138916,0.082545109
42,Lateral occipital cortex,VisCent,DorsAttnA,0.675444105,0.257796076,0.062705145
43,Callosomarginal sulcus,SalVentAttnA,SalVentAttnA,0.712438427,0.102050074,0.185495771
44,Paracentral lobule superior,SomMotA,SomMotA,0.41044751,0.108743019,0.16739125
45,Heschl?™s gyrus,SomMotA,SomMotB,0.782126884,0.112269894,0.105582382
46,Occipital pole,VisCent,VisCent,0.53577366,0.402950397,0.053282699
47,Thalamus,No network found,No network found,0.618566365,0.380229973,0.001202222
48,Intraparietal sulcus RH,ContA,ContA,0.599770934,0.271928645,0.117301401
49,Inferior frontal sulcus,ContA,ContA,0.696774981,0.181199707,0.108685282
50,Postcentral gyrus LH,SomMotA,DorsAttnB,0.575014235,0.274163233,0.144614411
51,Middle frontal gyrus,ContA,ContB,0.634080785,0.117309763,0.124368709
52,Inferior frontal gyrus,ContA,ContA,0.655400837,0.151963109,0.117049146
53,Parieto-occipital sulcus anterior,DefaultB,DefaultC,0.754945913,0.151896987,0.093156943
54,Precuneus anterior,DorsAttnB,ContC,0.67544513,0.136244247,0.188229132
55,Lingual gyrus,VisCent,VisCent,0.743853555,0.193130405,0.063004257
56,Superior occipital sulcus,DorsAttnB,DorsAttnA,0.599576463,0.305486504,0.093945792
57,Superior parietal lobule,DorsAttnB,DorsAttnA,0.487609559,0.086316429,0.186408916
58,Middle frontal gyrus anterior,SalVentAttnA,SalVentAttnB,0.672932087,0.235611029,0.074024562
59,Angular gyrus inferior,DefaultB,DefaultA,0.690220306,0.194842531,0.091930249
60,Cuneus,VisCent,VisPeri,0.627179411,0.269783337,0.103004913
61,Middle temporal gyrus,DefaultB,DefaultB,0.726527157,0.149595405,0.107328638
62,Superior frontal gyrus,DefaultB,DefaultB,0.651181921,0.062242996,0.224066894
63,Central sulcus,SomMotA,SomMotB,0.578501636,0.291674173,0.109243513
64,Caudate,No network found,No network found,0.703294599,0.260386277,0.036331767
